id;make;model;year
1;mobile Fish;Home Loan Account Table Computer;1911
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;1900
3;Officer;methodology Albania;1986
4;intangible;enable Gorgeous Frozen Pants;1946
5;Licensed Savings Account;Cambridgeshire Mississippi;1909
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;1946
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2033
8;hardware Costa Rica Mayotte;Industrial;2069
9;Views e-enable Communications;National Awesome sky blue;1909
10;software scale interactive;Louisiana Specialist Home Loan Account;1955
